id,srcLatitude,srcLongitude,destLatitude,destLongitude,distance,parent
10996,30.41,-89.07,35.21,-80.94,929.6451052,0
10997,48.18,-103.64,39.86,-104.67,929.273011,0
10998,-26.21,-58.23,-34.56,-58.42,929.1346443,0
10999,39.18,-76.67,33.64,-84.43,929.1178834,0
11000,-22.91,-43.16,-15.87,-47.92,929.0409618,0
11001,-18.1,25.84,-26.14,28.25,928.9854111,0
11002,41.79,-87.75,38.94,-77.46,928.7816752,0
11003,44.71,65.59,43.35,77.04,928.6952872,0
11004,48.78,44.35,55.97,37.41,928.587726,0
11005,51.48,-0.46,43.3,-2.91,928.5647277,0
11006,40.08,116.58,37.56,126.79,928.5624578,0
11007,40.08,116.58,38.48,106.01,928.3842929,0
11008,-4.03,39.59,-11.53,43.27,927.9319815,0
11009,49.01,2.55,41.92,8.8,927.8160445,0
11010,2.26,111.99,1.64,103.67,927.5739988,0
11011,38.91,16.24,45.45,9.28,927.3498009,0
11012,48.11,16.57,50.9,4.48,927.2176072,0
11013,38.17,-85.74,39.87,-75.24,927.0734067,0
11014,52.17,20.97,44.57,26.1,926.5634216,0
11015,39.98,43.87,40.13,33,926.3842309,0
11016,34.45,108.75,39.12,117.35,926.2948338,0
11017,-18.8,47.48,-11.53,43.27,926.1541798,0
11018,32.15,112.29,39.78,116.39,926.1478012,0
11019,1.64,103.67,-6.13,106.66,926.0571966,0
11020,40.08,116.58,31.78,117.3,926.03827,0
11021,38.75,-90.37,35.21,-80.94,925.9520043,0
11022,38.91,16.24,45.67,9.7,925.9394331,0
11023,40.9,29.31,45.03,39.17,925.8155051,0
11024,-17.63,24.18,-22.61,17.08,925.716164,0
11025,19.37,96.12,24.99,102.74,925.6916425,0
11026,-34.01,22.38,-29.97,30.95,925.5086281,0
11027,59.38,10.79,55.95,-3.37,925.4519323,0
11028,44.83,-0.72,52.31,4.76,925.2394552,0
11029,43.68,10.39,38.87,1.37,925.2208833,0
11030,39.12,117.35,34.99,126.38,925.1699694,0
11031,47.46,8.55,51.38,-2.72,925.1504203,0
11032,40.79,-111.98,34.2,-118.36,924.7524267,0
11033,43.63,1.36,37.42,-5.89,924.618715,0
11034,44.88,-93.22,39.9,-84.22,924.6118422,0
11035,43.18,-0.01,50.9,4.48,924.5939657,0
11036,36.27,120.37,28.87,115.9,924.5164872,0
11037,42.7,23.41,41.8,12.25,924.4987029,0
11038,30.67,111.44,22.64,113.81,924.4900522,0
11039,49.95,7.26,47.44,19.26,924.4574627,0
11040,40.79,-111.98,42.37,-122.87,924.2337339,0
11041,56.92,23.97,55.74,9.15,924.0778163,0
11042,43.12,-77.67,35.21,-80.94,923.9833812,0
11043,39.49,-0.48,46.24,6.11,923.7739508,0
11044,17.04,54.09,25.25,55.36,923.728374,0
11045,39.12,117.35,42.09,127.55,923.1615472,0
11046,47.46,8.55,52.45,-1.75,923.1380976,0
11047,45.2,7.65,51.89,0.24,923.0878894,0
11048,45.51,12.35,37.47,15.07,922.8732307,0
11049,39.78,116.39,31.94,119.71,922.7591571,0
11050,55.97,37.41,55.34,52.06,922.5307482,0
11051,12.53,-7.95,5.26,-3.93,922.4272351,0
11052,36.95,37.48,38.29,27.16,922.267963,0
11053,41,39.79,40.98,28.81,922.2071172,0
11054,47.46,8.55,55.74,9.15,922.0162685,0
11055,-6.12,23.57,-4.39,15.44,920.9377435,0
11056,43.63,1.36,36.67,-4.5,920.8123936,0
11057,41.38,123.29,33.51,126.49,920.6433309,0
11058,40.89,14.29,47.59,7.53,920.6165139,0
11059,43.54,16.3,45.73,5.09,920.5558217,0
11060,22.31,113.91,16.04,108.2,920.4386039,0
11061,45.51,12.35,53.63,9.99,920.2858655,0
11062,27.91,120.85,22.64,113.81,920.1530786,0
11063,-17.56,-149.61,-18.07,-140.95,920.0461603,0
11064,33.66,-101.82,26.23,-97.65,920.017744,0
11065,40.98,28.81,39.71,39.53,919.7079845,0
11066,58.35,-134.58,61.17,-150,919.7057932,0
11067,31.2,121.34,34.41,112.28,919.6230331,0
11068,41.79,-87.75,33.56,-86.75,919.4443715,0
11069,34.45,108.75,28.87,115.9,919.0839184,0
11070,31.37,72.99,24.91,67.16,919.029717,0
11071,45.4,10.89,53.63,9.99,918.8273601,0
11072,12.13,15.03,9.01,7.26,918.6955991,0
11073,-33.39,-70.79,-41.44,-73.09,918.46497,0
11074,29.65,-95.28,33.56,-86.75,918.3087258,0
11075,43.82,18.33,40.98,28.81,918.1488032,0
11076,21.09,79.05,12.95,77.67,918.034185,0
11077,-2.23,113.94,-6.13,106.66,917.9988953,0
11078,51.29,6.77,53.42,-6.27,917.6226028,0
11079,29.65,-95.28,30.34,-85.8,917.3081249,0
11080,37.36,-121.93,45.59,-122.6,917.2632217,0
11081,4.87,31.6,8.98,38.8,917.2595766,0
11082,51.89,0.24,55.62,12.66,917.1330082,0
11083,67.82,20.34,59.65,17.92,917.0977675,0
11084,47.26,39.82,55.41,37.91,916.8356877,0
11085,31.43,104.74,34.52,113.84,916.7567459,0
11086,40.22,-111.72,33.94,-118.41,916.7097237,0
11087,43.4,132.15,46.89,142.72,916.2610098,0
11088,43.04,144.19,35.55,139.78,916.1037884,0
11089,43.63,1.36,51.38,-2.72,915.964076,0
11090,48.35,11.79,51.15,-0.19,915.8363713,0
11091,39.55,2.73,47.15,-1.61,915.8321366,0
11092,-34.59,-68.4,-34.56,-58.42,915.4408481,0
11093,40.69,-74.17,39.05,-84.67,915.4231069,0
11094,32.9,-97.04,35.04,-106.61,915.1854537,0
11095,21.68,39.16,26.34,31.74,915.0655873,0
11096,-22.81,-43.24,-15.87,-47.92,915.0484051,0
11097,51.02,71.47,43.06,74.48,915.0102698,0
11098,-33.95,151.18,-41.55,147.21,914.8933353,0
11099,18.58,73.92,12.99,80.18,914.5549104,0
11100,37.75,112.63,31.94,119.71,914.4241776,0
11101,36.12,103.62,40.09,94.48,914.4085139,0
11102,23.59,58.28,26.47,49.8,913.8388632,0
11103,45.86,1.18,53.87,-1.66,913.7626717,0
11104,41.71,-86.32,33.64,-84.43,913.695368,0
11105,43.68,-79.63,48.37,-89.32,913.4408462,0
11106,51.89,0.24,48.35,11.79,913.3826147,0
11107,40.49,-3.57,45.73,5.09,913.3442338,0
