id,srcLatitude,srcLongitude,destLatitude,destLongitude,airline,srcAirport,destAirport
10787,45.03,39.17,40.98,28.81,Aircompany Yakutia,KRR,IST
10788,43.86,51.09,45.03,39.17,Scat Air,SCO,KRR
10789,43.81,11.21,44.83,-0.72,Air Senegal International,FLR,BOD
10790,51.89,0.24,55.53,13.37,Ryanair,STN,MMX
10791,21.18,81.74,19.09,72.87,Air Sahara,RPR,BOM
10792,43.4,132.15,35.18,128.94,Aeroflot Russian Airlines,VVO,PUS
10793,41.98,-87.9,40.19,-76.76,US Airways,ORD,MDT
10794,18.3,109.41,26.54,106.8,Shenzhen Airlines,SYX,KWE
10795,51.51,0.06,51.13,13.77,CityJet,LCY,DRS
10796,52.38,13.52,51.15,-0.19,easyJet,SXF,LGW
10797,36.18,140.42,33.59,130.45,Skymark Airlines,IBR,FUK
10798,54.64,52.8,55.41,37.91,Aerocondor,UUA,DME
10799,40.98,28.81,37.45,38.9,Turkish Airlines,IST,GNY
10800,32.9,-97.04,38.81,-104.7,US Airways,DFW,COS
10801,32.92,129.91,35.55,139.78,All Nippon Airways,NGS,HND
10802,39.12,117.35,31.2,121.34,Shenzhen Airlines,TSN,SHA
10803,45.51,12.35,41.3,2.08,Formosa Airlines,VCE,BCN
10804,47.46,8.55,44.82,20.31,Swiss International Air Lines,ZRH,BEG
10805,36.48,-82.41,27.91,-82.69,Allegiant Air,TRI,PIE
10806,41.79,-87.75,33.64,-84.43,Southwest Airlines,MDW,ATL
10807,23.4,116.68,31.74,118.86,Air Foyle,SWA,NKG
10808,26.68,-80.1,35.21,-80.94,US Airways,PBI,CLT
10809,44.11,15.35,52.56,13.29,Germanwings,ZAD,TXL
10810,51.02,71.47,43.35,77.04,Flightlink Tanzania,TSE,ALA
10811,17.04,54.09,25.26,51.57,Qatar Airways,SLL,DOH
10812,16.91,96.13,25.38,97.35,Air Bagan,RGN,MYT
10813,52.7,-8.92,46.59,0.31,Ryanair,SNN,PIS
10814,34.43,135.24,41.77,140.82,All Nippon Airways,KIX,HKD
10815,50.64,5.44,42.55,9.48,Corse-Mediterranee,LGG,BIA
10816,53.63,9.99,47.44,19.26,Germanwings,HAM,BUD
10817,52.17,20.97,46.43,30.68,LOT Polish Airlines,WAW,ODS
10818,30.25,66.94,36.23,59.64,Pakistan International Airlines,UET,MHD
10819,52.38,13.52,51.87,-0.37,easyJet,SXF,LTN
10820,47.46,8.55,55.62,12.66,Scandinavian Airlines System,ZRH,CPH
10821,22.58,120.35,28.19,113.22,TransAsia Airways,KHH,CSX
10822,40.79,-111.98,33.94,-118.41,Southwest Airlines,SLC,LAX
10823,44.83,-0.72,44.54,11.29,Ryanair,BOD,BLQ
10824,40.08,116.58,31.74,118.86,Shenzhen Airlines,PEK,NKG
10825,43.44,5.21,51.15,-0.19,easyJet,MRS,LGW
10826,38.85,-77.04,44.81,-68.83,US Airways,DCA,BGR
10827,41.98,-87.9,36.1,-79.94,United Airlines,ORD,GSO
10828,40.22,-111.72,37.72,-122.22,Allegiant Air,PVU,OAK
10829,45.65,12.19,41.3,2.08,Ryanair,TSF,BCN
10830,57.77,11.87,55.95,-3.37,Ryanair,GSE,EDI
10831,52.56,13.29,51.48,-0.46,British Airways,TXL,LHR
10832,-32.83,-68.79,-41.15,-71.16,Aerolineas Argentinas,MDZ,BRC
10833,26.92,-81.99,35.44,-82.54,Allegiant Air,PGD,AVL
10834,20.52,-103.31,28.7,-105.96,Volaris,GDL,CUU
10835,40.79,-111.98,33.82,-118.15,Delta Air Lines,SLC,LGB
10836,-17.04,15.68,-8.86,13.23,TAAG Angola Airlines,VPE,LAD
10837,48.69,9.22,44.82,20.31,Jat Airways,STR,BEG
10838,45.4,10.89,37.47,15.07,Meridiana,VRN,CTA
10839,43.68,-79.63,35.21,-80.94,US Airways,YYZ,CLT
10840,30.67,111.44,24.54,118.13,Xiamen Airlines,YIH,XMN
10841,40.08,116.58,31.94,119.71,Shenzhen Airlines,PEK,CZX
10842,29.72,106.64,21.54,109.29,Empresa Ecuatoriana De Aviacion,CKG,BHY
10843,55.97,37.41,64.36,40.43,Aeroflot Russian Airlines,SVO,ARH
10844,34.86,136.81,37.56,126.79,Jeju Air,NGO,GMP
10845,33.68,-117.87,40.79,-111.98,Delta Air Lines,SNA,SLC
10846,41.79,-87.75,37.65,-97.43,Southwest Airlines,MDW,ICT
10847,36.28,-94.31,33.64,-84.43,KLM Royal Dutch Airlines,XNA,ATL
10848,27.98,-82.53,35.88,-78.79,Southwest Airlines,TPA,RDU
10849,41.41,19.72,44.41,8.84,Alitalia,TIA,GOA
10850,-5.06,119.55,1.55,124.93,Lion Mentari Airlines,UPG,MDC
10851,34.16,117.11,25.94,119.66,Japan Air System,XUZ,FOC
10852,53.88,28.03,47.44,19.26,Belavia Belarusian Airlines,MSQ,BUD
10853,46.93,28.93,43.45,39.96,Air Moldova,KIV,AER
10854,41.53,-93.66,39.86,-104.67,United Airlines,DSM,DEN
10855,27.91,-82.69,36.1,-79.94,Allegiant Air,PIE,GSO
10856,-6.13,106.66,-3.44,114.76,Sriwijaya Air,CGK,BDJ
10857,1.55,124.93,-1.27,116.89,Lion Mentari Airlines,MDC,BPN
10858,40.64,-73.78,39.05,-84.67,US Airways,JFK,CVG
10859,41.98,-87.9,38.94,-77.46,United Airlines,ORD,IAD
10860,-10.17,123.67,-8.75,115.17,Lion Mentari Airlines,KOE,DPS
10861,51.96,4.44,43.66,7.22,Transavia Holland,RTM,NCE
10862,40.08,116.58,42.09,127.55,China Southern Airlines,PEK,NBS
10863,48.45,-4.42,41.3,2.08,Formosa Airlines,BES,BCN
10864,40.79,-111.98,37.72,-122.22,Southwest Airlines,SLC,OAK
10865,30.67,111.44,31.2,121.34,China Eastern Airlines,YIH,SHA
10866,41.98,-87.9,37.65,-97.43,US Airways,ORD,ICT
10867,25.79,-80.29,17.94,-76.79,US Airways,MIA,KIN
10868,28.43,-81.31,32.31,-90.08,Southwest Airlines,MCO,JAN
10869,51.02,71.47,56.74,60.8,Air Astana,TSE,SVX
10870,21.18,81.74,28.57,77.1,Air Sahara,RPR,DEL
10871,51.89,0.24,43.47,-1.52,Ryanair,STN,BIQ
10872,46.22,14.46,49.01,2.55,Adria Airways,LJU,CDG
10873,45.45,9.28,51.15,-0.19,easyJet,LIN,LGW
10874,54.63,25.29,48.11,16.57,Austrian Airlines,VNO,VIE
10875,53.35,-2.27,47.59,7.53,easyJet,MAN,BSL
10876,39.87,-75.24,39.72,-86.29,US Airways,PHL,IND
10877,36.12,103.62,34.52,113.84,Shandong Airlines,LHW,CGO
10878,18.3,109.41,23.4,116.68,China Southern Airlines,SYX,SWA
10879,31.2,121.34,36.25,113.13,Juneyao Airlines,SHA,CIH
10880,39.18,-76.67,36.12,-86.68,Southwest Airlines,BWI,BNA
10881,51.45,5.37,43.22,2.31,Ryanair,EIN,CCF
10882,11.14,75.96,19.09,72.87,Air Sahara,CCJ,BOM
10883,51.6,6.14,43.32,3.35,Ryanair,NRN,BZR
10884,-24.86,-65.49,-32.83,-68.79,Aerolineas Argentinas,SLA,MDZ
10885,48.35,11.79,51.48,-0.46,Lufthansa,MUC,LHR
10886,42.43,14.18,41.9,2.76,Ryanair,PSR,GRO
10887,51.15,-0.19,47.26,11.34,easyJet,LGW,INN
10888,-22.91,-43.16,-16.63,-49.22,Azul,SDU,GYN
10889,32.85,-96.85,33.56,-86.75,Southwest Airlines,DAL,BHM
10890,-20.26,-40.29,-15.87,-47.92,TAM Brazilian Airlines,VIX,BSB
10891,30.78,114.21,22.31,113.91,Dragonair,WUH,HKG
10892,29.34,120.03,23.39,113.3,China Southern Airlines,YIW,CAN
10893,31.74,118.86,37.47,126.45,Asiana Airlines,NKG,ICN
10894,29.1,110.44,31.94,119.71,China Eastern Airlines,DYG,CZX
10895,36.2,-95.89,41.98,-87.9,US Airways,TUL,ORD
